ligand_id,SMILES,affinity_pred_value,affinity_probability_binary,boltz2_score,is_active
ASD01810009,O=C1CCc2cc3c(c4c5cc(Cl)ccc5n1c24)CCNC3,0.197377667,0.198708251,0.0895489827509924,1
ASD01810010,O=C(O)c1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CNCC3,-0.222772315,0.23335731,0.129675042042718,1
ASD01810011,COC(=O)c1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CNCC3,-0.789555907,0.462468028,0.32252010482651,1
ASD01810012,O=C(c1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CNCC3)N1CCOCC1,-0.415750921,0.390358984,0.235752518779656,1
ASD01810013,O=C1CCc2cc3c(c4c5cc(CN6CCOCC6)ccc5n1c24)CCNC3,-0.562190473,0.386394799,0.247504268203638,1
ASD01810014,COc1ccc2c3c4c(cc5c3n(c2c1)C(=O)CC5)CNCC4,-1.175863624,0.50265789,0.399093227041898,1
ASD01810015,O=C1CCc2cc3c(c4c5ccc(O)cc5n1c24)CCNC3,-0.85278213,0.36469695,0.260100235456376,1
ASD01810016,O=C1CCc2cc3c(c4c5ccc(Cl)cc5n1c24)CCNC3,-0.398571283,0.295502484,0.177195943044392,1
ASD01810017,COC(=O)c1ccc2c3c4c(cc5c3n(c2c1)C(=O)CC5)CNCC4,-0.828094482,0.491323471,0.347377299303047,1
ASD01810018,N#Cc1ccc2c3c4c(cc5c3n(c2c1)C(=O)CC5)CNCC4,-0.995395899,0.370421082,0.277389447481486,1
ASD01810019,COc1cccc2c3c4c(cc5c3n(c12)C(=O)CC5)CNCC4,-0.400271118,0.359324366,0.215618974425865,1
ASD01810020,O=C1CCc2cc3c(c4c5cccc(O)c5n1c24)CCNC3,-0.732188463,0.410724193,0.280543975397396,1
ASD01810021,COc1cc2c3c4c(cc5c3n(c2cc1OC)C(=O)CC5)CNCC4,-1.13896656,0.500069737,0.392425545527749,1
ASD01810022,O=C1CCc2cc3c(c4c5cc6c(cc5n1c24)OCO6)CCNC3,-1.076680183,0.459762514,0.353635553927515,1
ASD01810023,COc1cc2c(c(OC)c1OC)c1c3c(cc4c1n2C(=O)CC4)CNCC3,-0.28576991,0.399062842,0.228041459110671,1
