ligand_id,SMILES,CS_avg,is_active
M2R-decoy_1160,Cc1csc2c(=O)sc(NC(=O)c3cccs3)nc12,0.4443354571950378,0
ASD01810024,COC(=O)c1c2c(c3c4cc(OC)c(OC)cc4n4c3c1CCC4=O)CCNC2,0.4095364622595319,1
M2R-decoy_2843,CCOC(=O)c1cc(CCCOc2c(C)cc(c3noc(C(F)(F)F)n3)cc2C)on1,0.3817908634462015,0
M2R-decoy_11521,COc1cc(OC)c(c2cn3ccc(N4CC[NH+](CC[NH+]5CCCC5)CC4)cc3n2)cc1Cl,0.3757033373140659,0
M2R-decoy_8068,CC[C@H](C)[C@H]1C(=O)N[C@H](Cc2cc(Cl)c(O)c(Cl)c2)C(=O)N[C@@H](C(C)C)C(=O)O[C@H](c2ccccc2)[C@H](C)/C=C/C=C(\C)[C@H](OC)C[C@@H]2O[C@@]2(C)C(=O)N1C,0.3598384841560219,0
M2R-decoy_3507,COC(C(=O)Nc1nnc(CCCCc2ccc(NC(=O)Cc3cccc(CNC(=O)CC(C)(O)C(F)(F)F)c3)nn2)s1)c1ccccc1,0.3581460315417797,0
M2R-decoy_8009,CCC(C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@H]([S+]([O-])CCO)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,0.3576036935298006,0
M2R-decoy_9943,C=C1[C@@H](OC(=O)/C=C/c2ccccc2)C[C@H](OC(C)=O)[C@]2(C)[C@@H]1C[C@@H]1C[C@H](OC(=O)C(O)[C@@H](CC(C)C)NC(=O)OC(C)(C)C)C(C)=C([C@@H]1C)[C@@H](OC(C)=O)[C@@H]2OC(C)=O,0.3572871586228297,0
M2R-decoy_9509,CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)[C@@H]1O[C@@H]([C@@H](CC)C(=O)N(C)OC)CC[C@@H]1C)[C@H]1O[C@]2(C=C[C@@H](O)[C@]3(CC[C@@](C)([C@H]4CC[C@](O)(CC)[C@H](C)O4)O3)O2)[C@H](C)C[C@@H]1C,0.355736979152464,0
M2R-decoy_8130,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCCCC#C[C@]3(O)CC[C@@]4(C)C5CCC6=CC(=O)CC[C@]6(C)[C@@]5(C)CC[C@]34C)=C(C[C@H](C)C[C@H](OC)[C@@H](O)[C@H](C)/C=C(\C)C[C@@H]1OC(N)=O)C2=O,0.3506038074162523,0
M2R-decoy_8742,Cc1noc(C)c1S(=O)(=O)N1Cc2cc3c(cc2C[C@H]1C(=O)N[C@@H](Cc1ccc(c2ccc(C#N)cc2)cc1)C(=O)[O-])OCC(c1ccc(OCc2ccc(Cl)c(Cl)c2)cc1)O3,0.3493652100419449,0
M2R-decoy_3331,CCCCN(CC)c1ncnc2c1nnn2c1ccc(C(C)C)cc1Br,0.3467817831873426,0
M2R-decoy_7461,O=[N+]([O-])c1cc(C(F)(F)F)c(I)c([N+](=O)[O-])c1Nc1ncc(C(F)(F)F)cc1Cl,0.3388664056383839,0
M2R-decoy_5715,CCCn1c(=O)c2[nH]c(c3ccc(OCC(=O)N[C@H](C)[C@H](O)c4ccccc4)cc3)cc2n(CCC)c1=O,0.3380056018787607,0
M2R-decoy_1671,Cc1ccc(C[Se]C(Cn2ccnc2)c2ccc(F)cc2F)cc1,0.3376867183756579,0
M2R-decoy_8193,CC[C@@]1(OC(=O)COc2ccc(C#N)c(F)c2)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2COC(=O)COc1ccc(C#N)c(F)c1,0.328296485553423,0
M2R-decoy_9949,CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](OCc4nccn4Cc4ccccc4)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,0.3274238799566568,0
M2R-decoy_9213,Cc1cc(NCc2cccc(C(F)(F)F)c2F)c2cccc(C(N)=O)c2n1,0.3270706918149476,0
M2R-decoy_7561,C=C1CCCC2=NC[C@H](C)CC[C@@]23CCC([C@@H]2CC(C)C(=O)O2)=C(C)[C@@H]3/C=C(\C)[C@@H](O)C[C@H]2O[C@]3(CC[C@@]4(O[C@@H](CC[C@@]4(C)O)C1)O3)C[C@H]2C,0.3264502640808237,0
M2R-decoy_9982,O=C([O-])C1CC2(C1)CC(C(=O)N1CC[C@@](c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C1)C2,0.3203712463509771,0
M2R-decoy_5792,CN(CC(=O)NCCOCCOCCNC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12)c1ccc(C#Cc2c(F)cccc2F)c2ccccc12,0.3195619054876187,0
ASD01820169,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2cc(Cl)c(Cl)cc2C1=O)CCCN1C(=O)c2ccccc2C1=O,0.3188889494653371,1
M2R-decoy_9972,COC[C@@H]1NC(=O)[C@H](C)N(Cc2ccc(Cl)cc2Oc2ccc(c3cnc(C[NH+](C)C)n3C)nc2)C(=O)C[C@@H](CC(F)(F)F)C(=O)N2CCC[C@@](Cc3ccc(Cl)cc3)(C2)N(C)C1=O,0.3181532410796873,0
M2R-decoy_3301,Cc1cc(CCCOc2c(C)cc(c3noc(C(C)(F)F)n3)cc2C)on1,0.317426343990615,0
M2R-decoy_8928,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CC[NH+](CCC(Cn2cnc3ccccc32)c2ccccc2)CC1,0.3168993444534544,0
ASD01820164,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2ccc(C(F)(F)F)cc2C1=O)CCCN1C(=O)c2ccccc2C1=O,0.3136861166602667,1
M2R-decoy_4898,O=C(Cc1ccccc1)Nc1ccn(CCCCc2ccc(NC(=O)Cc3cccc(OC(F)(F)F)c3)nn2)c(=O)c1,0.3128932196969256,0
M2R-decoy_8300,CC(C(=O)Nc1nnc(CCCCc2ccc(NC(=O)Cc3cccc(CNC(=O)OC(C)(C)C)c3)nn2)s1)c1ccccc1,0.312877137711533,0
M2R-decoy_8436,CC[NH+](CC)CCN(Cc1ccc(c2ccc(Cl)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCCC2,0.3123972516308535,0
M2R-decoy_7360,O=C(Nc1ccc(C(F)(F)F)cc1)Nc1ccc2c(c1)[C@H]1C[C@H](CC(=O)N3CCc4ccccc4C3)O[C@H](CO)[C@H]1O2,0.311709532465737,0
M2R-decoy_8705,CO[C@H]1C[C@@H]2CC=C[C@@H](C[C@@H](O)C/C=C(C)/C=C/C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@@H](C)CCC(O)[C@H](C)[C@H](OC)[C@H](C)/C=C/N(C)C=O)[C@@H](C)[C@H](OC)C[C@H](OC)[C@]13CO3)O2,0.3098980157553923,0
M2R-decoy_9038,CC(C(=O)NCc1ccc(C(F)(F)F)nc1N(Cc1ccc(Cl)cc1)S(=O)(=O)c1ccccc1)c1ccc(NS(C)(=O)=O)c(F)c1,0.3086154952386813,0
M2R-decoy_8148,CCC(C)C1O[C@]2(C=CC1C)CC1CC(C/C=C(\C)[C@H](OC3CC(OC)C(O[C@H]4CC(OC)[C@@H](O)C(C)O4)C(C)O3)[C@@H](C)/C=C/C=C3\COC4C(O)C(C)=C[C@H](C(=O)O1)[C@@]34O)O2,0.3085113576888599,0
M2R-decoy_10930,CCCCN(CC)c1nc(C)nc2c1nnn2c1ccc(Br)cc1Br,0.305943684615036,0
M2R-decoy_9769,Cc1cc(N/N=C/c2ccc(O[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@]64OO5)cc2)c2cccc(Br)c2n1,0.3042912989141645,0
ASD01820005,Cc1c(Cl)c(OCC(=O)N2CCN(C)CC2)cc2sc(C(=O)NC3CC3)c(N)c12,0.3016651988213377,1
M2R-decoy_7867,CC(=O)O[C@]12C[C@@H](C)[C@H](OC(=O)c3ccccc3)[C@@H]1/C=C(\C)[C@H](OC(=O)c1ccccc1)CC(=O)C(C)(C)/C=C/[C@@H](C)C2=O,0.300557968915137,0
M2R-decoy_2984,Cc1c(Oc2cccc(F)c2F)c(OC(C)C)nn1c1ccc(C2CC2)nn1,0.2985326020814038,0
M2R-decoy_83,CC(C(=O)Nc1nnc(CCCCc2ccc(NC(=O)Cc3cccc(CNC(=O)OCCF)c3)nn2)s1)c1ccccc1,0.2958023603949601,0
